GSS_CD,county_UA,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020
E09000002,Barking and Dagenham,3,4,5,7,10,9,14,18,21
E09000003,Barnet,9,14,23,25,25,24,27,28,76
E08000016,Barnsley,2,2,3,5,4,2,6,7,7
E06000022,Bath and North East Somerset,0,0,1,2,1,3,3,4,5
E06000055,Bedford,0,0,0,0,0,1,1,1,1
E09000004,Bexley,0,1,5,7,8,14,17,22,31
E08000025,Birmingham,2,2,5,8,15,20,25,34,54
E06000008,Blackburn with Darwen,0,0,0,0,0,1,1,1,1
E06000009,Blackpool,2,2,1,3,2,3,4,3,5
E08000001,Bolton,3,3,3,3,3,5,7,9,13
E06000058,"Bournemouth, Christchurch and Poole",3,3,4,5,5,6,7,9,10
E06000036,Bracknell Forest,4,4,3,5,4,3,3,3,3
E08000032,Bradford,3,4,4,6,7,7,8,7,9
E09000005,Brent,3,4,14,20,20,24,45,66,75
E06000043,Brighton and Hove,8,9,9,10,10,9,11,12,14
E06000023,"Bristol, City of",3,5,4,5,7,8,12,12,13
E09000006,Bromley,2,4,5,7,11,23,32,40,52
E10000002,Buckinghamshire,4,7,13,15,12,23,27,39,39
E08000002,Bury,3,3,3,3,6,7,7,8,10
E08000033,Calderdale,2,2,3,5,2,3,3,3,5
E10000003,Cambridgeshire,1,1,4,7,12,12,14,15,16
E09000007,Camden,11,13,19,22,22,20,30,36,46
E06000056,Central Bedfordshire,0,0,1,3,4,6,6,7,8
E06000049,Cheshire East,0,0,1,1,0,7,8,9,9
E06000050,Cheshire West and Chester,2,3,3,4,4,5,5,7,10
E06000052,Cornwall and Isles of Scilly,5,5,4,5,8,10,10,10,16
E06000047,County Durham,1,1,1,1,1,1,3,5,7
E08000026,Coventry,3,3,3,2,3,3,4,4,7
E09000008,Croydon,1,1,1,2,4,6,32,49,68
E10000006,Cumbria,7,8,9,10,10,22,34,38,52
E06000005,Darlington,0,0,2,2,2,1,2,2,2
E06000015,Derby,1,1,3,5,4,0,11,9,12
