area_code,population
N92000002,1881641
S92000003,5438100
W92000004,3138631
E06000005,106566
E06000047,526980
E06000001,93242
E06000002,140545
E06000057,320274
E06000003,136718
E06000004,197213
E08000037,202508
E08000021,300196
E08000022,205985
E08000023,150265
E08000024,277417
E06000008,148942
E06000009,139305
E06000049,380790
E06000050,340502
E06000006,128432
E06000007,209547
E10000006,498888
E08000001,285372
E08000002,190108
E08000003,547627
E08000004,235623
E08000005,220001
E08000006,254408
E08000007,291775
E08000008,225197
E08000009,236370
E08000010,326088
E10000017,1210053
E08000011,149571
E08000012,494814
E08000014,275396
E08000013,180049
E08000015,323235
E06000011,339614
E06000010,260645
E06000012,159821
E06000013,172005
E06000014,209893
E10000023,614505
E08000016,245199
E08000017,310542
E08000018,264671
E08000019,582506
E08000032,537173
E08000033,210082
E08000034,438727
E08000035,789194
E08000036,345038
E06000015,257174
E06000016,355218
E06000018,331069
E06000017,39697
E10000007,796142
E10000018,698268
E10000019,755833
E10000021,747622
E10000024,823126
E06000019,192107
E06000051,320274
E06000021,255833
E06000020,177799
E10000028,875219
E10000031,571010
E08000025,1141374
E08000026,366785
E08000027,320626
E08000028,327378
E08000029,214909
E08000030,283378
E08000031,262008
E10000034,592057
E06000055,171623
E06000056,283606
E06000032,214109
E06000031,201041
E06000033,182463
E06000034,172525
E10000003,651482
E10000012,1477764
E10000015,1184365
E10000020,903680
E10000029,758556
E09000007,262226
E09000001,8706
E09000012,279665
E09000013,185426
E09000014,270624
E09000019,239142
E09000020,156197
E09000022,325917
E09000023,303536
E09000025,352005
E09000028,317256
E09000030,317705
E09000032,326474
E09000033,255324
E09000002,211998
E09000003,392140
E09000004,247258
E09000005,330795
E09000006,331096
E09000008,385346
E09000009,341982
E09000010,333869
E09000011,286186
E09000015,250149
E09000016,257810
E09000017,304824
E09000018,270782
E09000021,175470
E09000024,206186
E09000026,303858
E09000027,196904
E09000029,204525
E09000031,276700
E06000036,121676
E06000043,290395
E06000046,141538
E06000035,277855
E06000042,268607
E06000044,215133
E06000038,163203
E06000039,149112
E06000045,252796
E06000037,158527
E06000040,150906
E06000041,167979
E10000002,540059
E10000011,554590
E10000014,1376316
E10000016,1568623
E10000025,687524
E10000030,1189934
E10000032,858852
E06000022,192106
E06000058,395784
E06000023,463405
E06000052,565968
E06000053,2242
E06000024,213919
E06000026,263100
E06000025,282644
E06000030,221996
E06000027,135780
E06000054,498064
E10000008,795286
E06000059,376484
E10000013,633558
E10000027,559399
W06000001,69961
W06000002,124178
W06000003,117181
W06000004,95330
W06000005,155593
W06000006,136126
W06000023,132447
W06000008,72992
W06000009,125055
W06000010,187568
W06000011,246466
W06000012,142906
W06000013,144876
W06000014,132165
W06000015,364248
W06000016,240131
W06000024,60183
W06000018,181019
W06000019,69713
W06000020,93049
W06000021,94142
W06000022,153302
S12000033,227560
S12000034,261470
S12000041,116040
S12000035,86260
S12000005,51400
S12000006,148790
S12000042,148750
S12000008,121840
S12000045,108330
S12000010,105790
S12000011,95170
S12000036,518500
S12000013,26830
S12000014,160340
S12000047,371910
S12000049,626410
S12000017,235540
S12000018,78150
S12000019,91340
S12000020,95520
S12000021,135280
S12000050,340180
S12000023,22190
S12000048,151290
S12000038,177790
S12000026,115270
S12000027,22990
S12000028,112550
S12000029,319020
S12000030,94330
S12000039,89130
S12000040,182140
N09000001,142492
N09000002,214090
N09000003,341877
N09000004,144246
N09000005,150679
N09000006,116835
N09000007,144381
N09000008,138773
N09000009,147392
N09000010,180012
N09000011,160864
