Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-01,95,0,95,122842,120614,2228
South West,E12000009,Region,2020-05-01,5,NA,NA,6405,NA,NA
South East,E12000008,Region,2020-05-01,11,NA,NA,17324,NA,NA
London,E12000007,Region,2020-05-01,3,NA,NA,24700,NA,NA
East of England,E12000006,Region,2020-05-01,7,NA,NA,10785,NA,NA
West Midlands,E12000005,Region,2020-05-01,10,NA,NA,13402,NA,NA
East Midlands,E12000004,Region,2020-05-01,7,NA,NA,7004,NA,NA
Yorkshire and The Humber,E12000003,Region,2020-05-01,45,NA,NA,10598,NA,NA
North West,E12000002,Region,2020-05-01,2,NA,NA,19435,NA,NA
North East,E12000001,Region,2020-05-01,0,NA,NA,7941,NA,NA
Worcestershire,E10000034,Upper tier local authority,2020-05-01,0,NA,NA,1161,NA,NA
West Sussex,E10000032,Upper tier local authority,2020-05-01,0,NA,NA,1154,NA,NA
Warwickshire,E10000031,Upper tier local authority,2020-05-01,0,NA,NA,1186,NA,NA
Surrey,E10000030,Upper tier local authority,2020-05-01,0,NA,NA,2588,NA,NA
Suffolk,E10000029,Upper tier local authority,2020-05-01,0,NA,NA,1076,NA,NA
Staffordshire,E10000028,Upper tier local authority,2020-05-01,2,NA,NA,1766,NA,NA
Somerset,E10000027,Upper tier local authority,2020-05-01,0,NA,NA,506,NA,NA
Oxfordshire,E10000025,Upper tier local authority,2020-05-01,0,NA,NA,1561,NA,NA
Nottinghamshire,E10000024,Upper tier local authority,2020-05-01,0,NA,NA,1134,NA,NA
North Yorkshire,E10000023,Upper tier local authority,2020-05-01,4,NA,NA,974,NA,NA
Northamptonshire,E10000021,Upper tier local authority,2020-05-01,0,NA,NA,1047,NA,NA
Norfolk,E10000020,Upper tier local authority,2020-05-01,6,NA,NA,1607,NA,NA
Lincolnshire,E10000019,Upper tier local authority,2020-05-01,0,NA,NA,855,NA,NA
Leicestershire,E10000018,Upper tier local authority,2020-05-01,1,NA,NA,946,NA,NA
Lancashire,E10000017,Upper tier local authority,2020-05-01,0,NA,NA,2824,NA,NA
Kent,E10000016,Upper tier local authority,2020-05-01,0,NA,NA,3379,NA,NA
Hertfordshire,E10000015,Upper tier local authority,2020-05-01,0,NA,NA,2319,NA,NA
Hampshire,E10000014,Upper tier local authority,2020-05-01,5,NA,NA,2827,NA,NA
Gloucestershire,E10000013,Upper tier local authority,2020-05-01,0,NA,NA,1228,NA,NA
Essex,E10000012,Upper tier local authority,2020-05-01,1,NA,NA,2615,NA,NA
East Sussex,E10000011,Upper tier local authority,2020-05-01,1,NA,NA,588,NA,NA
Devon,E10000008,Upper tier local authority,2020-05-01,2,NA,NA,712,NA,NA
Derbyshire,E10000007,Upper tier local authority,2020-05-01,4,NA,NA,1303,NA,NA
Cumbria,E10000006,Upper tier local authority,2020-05-01,0,NA,NA,1914,NA,NA
Cambridgeshire,E10000003,Upper tier local authority,2020-05-01,0,NA,NA,768,NA,NA
Buckinghamshire,E10000002,Upper tier local authority,2020-05-01,0,NA,NA,836,NA,NA
Westminster,E09000033,Upper tier local authority,2020-05-01,0,NA,NA,601,NA,NA
Wandsworth,E09000032,Upper tier local authority,2020-05-01,0,NA,NA,921,NA,NA
Waltham Forest,E09000031,Upper tier local authority,2020-05-01,0,NA,NA,724,NA,NA
Tower Hamlets,E09000030,Upper tier local authority,2020-05-01,0,NA,NA,600,NA,NA
Sutton,E09000029,Upper tier local authority,2020-05-01,0,NA,NA,667,NA,NA
Southwark,E09000028,Upper tier local authority,2020-05-01,0,NA,NA,1201,NA,NA
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-01,0,NA,NA,367,NA,NA
Redbridge,E09000026,Upper tier local authority,2020-05-01,0,NA,NA,678,NA,NA
Newham,E09000025,Upper tier local authority,2020-05-01,0,NA,NA,952,NA,NA
Merton,E09000024,Upper tier local authority,2020-05-01,0,NA,NA,654,NA,NA
Lewisham,E09000023,Upper tier local authority,2020-05-01,0,NA,NA,925,NA,NA
Lambeth,E09000022,Upper tier local authority,2020-05-01,0,NA,NA,1139,NA,NA
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-01,0,NA,NA,450,NA,NA
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-01,0,NA,NA,462,NA,NA
Islington,E09000019,Upper tier local authority,2020-05-01,0,NA,NA,414,NA,NA
Hounslow,E09000018,Upper tier local authority,2020-05-01,0,NA,NA,653,NA,NA
Hillingdon,E09000017,Upper tier local authority,2020-05-01,0,NA,NA,726,NA,NA
Havering,E09000016,Upper tier local authority,2020-05-01,0,NA,NA,634,NA,NA
Harrow,E09000015,Upper tier local authority,2020-05-01,0,NA,NA,936,NA,NA
Haringey,E09000014,Upper tier local authority,2020-05-01,0,NA,NA,547,NA,NA
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-01,0,NA,NA,610,NA,NA
Hackney,E09000012,Upper tier local authority,2020-05-01,1,NA,NA,606,NA,NA
Greenwich,E09000011,Upper tier local authority,2020-05-01,0,NA,NA,638,NA,NA
Enfield,E09000010,Upper tier local authority,2020-05-01,0,NA,NA,833,NA,NA
Ealing,E09000009,Upper tier local authority,2020-05-01,0,NA,NA,1066,NA,NA
Croydon,E09000008,Upper tier local authority,2020-05-01,1,NA,NA,1384,NA,NA
Camden,E09000007,Upper tier local authority,2020-05-01,0,NA,NA,576,NA,NA
Bromley,E09000006,Upper tier local authority,2020-05-01,0,NA,NA,1079,NA,NA
Brent,E09000005,Upper tier local authority,2020-05-01,0,NA,NA,1354,NA,NA
Bexley,E09000004,Upper tier local authority,2020-05-01,0,NA,NA,622,NA,NA
Barnet,E09000003,Upper tier local authority,2020-05-01,0,NA,NA,1209,NA,NA
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-01,1,NA,NA,456,NA,NA
City of London,E09000001,Upper tier local authority,2020-05-01,0,NA,NA,16,NA,NA
Gateshead,E08000037,Upper tier local authority,2020-05-01,0,NA,NA,837,NA,NA
Wakefield,E08000036,Upper tier local authority,2020-05-01,5,NA,NA,535,NA,NA
Leeds,E08000035,Upper tier local authority,2020-05-01,3,NA,NA,1434,NA,NA
Kirklees,E08000034,Upper tier local authority,2020-05-01,1,NA,NA,572,NA,NA
Calderdale,E08000033,Upper tier local authority,2020-05-01,2,NA,NA,245,NA,NA
Bradford,E08000032,Upper tier local authority,2020-05-01,3,NA,NA,915,NA,NA
Wolverhampton,E08000031,Upper tier local authority,2020-05-01,0,NA,NA,850,NA,NA
Walsall,E08000030,Upper tier local authority,2020-05-01,0,NA,NA,970,NA,NA
Solihull,E08000029,Upper tier local authority,2020-05-01,0,NA,NA,571,NA,NA
Sandwell,E08000028,Upper tier local authority,2020-05-01,0,NA,NA,1023,NA,NA
Dudley,E08000027,Upper tier local authority,2020-05-01,1,NA,NA,774,NA,NA
Coventry,E08000026,Upper tier local authority,2020-05-01,0,NA,NA,665,NA,NA
Birmingham,E08000025,Upper tier local authority,2020-05-01,0,NA,NA,2869,NA,NA
Sunderland,E08000024,Upper tier local authority,2020-05-01,0,NA,NA,1170,NA,NA
South Tyneside,E08000023,Upper tier local authority,2020-05-01,0,NA,NA,568,NA,NA
North Tyneside,E08000022,Upper tier local authority,2020-05-01,0,NA,NA,478,NA,NA
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-01,0,NA,NA,929,NA,NA
Sheffield,E08000019,Upper tier local authority,2020-05-01,18,NA,NA,2170,NA,NA
Rotherham,E08000018,Upper tier local authority,2020-05-01,2,NA,NA,720,NA,NA
Doncaster,E08000017,Upper tier local authority,2020-05-01,2,NA,NA,493,NA,NA
Barnsley,E08000016,Upper tier local authority,2020-05-01,4,NA,NA,665,NA,NA
Wirral,E08000015,Upper tier local authority,2020-05-01,0,NA,NA,1018,NA,NA
Sefton,E08000014,Upper tier local authority,2020-05-01,0,NA,NA,810,NA,NA
St. Helens,E08000013,Upper tier local authority,2020-05-01,0,NA,NA,655,NA,NA
Liverpool,E08000012,Upper tier local authority,2020-05-01,0,NA,NA,1428,NA,NA
Knowsley,E08000011,Upper tier local authority,2020-05-01,0,NA,NA,554,NA,NA
Wigan,E08000010,Upper tier local authority,2020-05-01,0,NA,NA,694,NA,NA
Trafford,E08000009,Upper tier local authority,2020-05-01,0,NA,NA,603,NA,NA
Tameside,E08000008,Upper tier local authority,2020-05-01,0,NA,NA,465,NA,NA
Stockport,E08000007,Upper tier local authority,2020-05-01,0,NA,NA,851,NA,NA
Salford,E08000006,Upper tier local authority,2020-05-01,0,NA,NA,642,NA,NA
Rochdale,E08000005,Upper tier local authority,2020-05-01,0,NA,NA,476,NA,NA
Oldham,E08000004,Upper tier local authority,2020-05-01,0,NA,NA,658,NA,NA
Manchester,E08000003,Upper tier local authority,2020-05-01,0,NA,NA,1118,NA,NA
Bury,E08000002,Upper tier local authority,2020-05-01,0,NA,NA,502,NA,NA
Bolton,E08000001,Upper tier local authority,2020-05-01,1,NA,NA,782,NA,NA
Dorset,E06000059,Upper tier local authority,2020-05-01,0,NA,NA,313,NA,NA
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-01,0,NA,NA,412,NA,NA
Northumberland,E06000057,Upper tier local authority,2020-05-01,0,NA,NA,787,NA,NA
Central Bedfordshire,E06000056,Upper tier local authority,2020-05-01,0,NA,NA,502,NA,NA
Bedford,E06000055,Upper tier local authority,2020-05-01,0,NA,NA,442,NA,NA
Wiltshire,E06000054,Upper tier local authority,2020-05-01,0,NA,NA,441,NA,NA
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-01,1,NA,NA,505,NA,NA
Shropshire,E06000051,Upper tier local authority,2020-05-01,0,NA,NA,507,NA,NA
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-01,0,NA,NA,829,NA,NA
Cheshire East,E06000049,Upper tier local authority,2020-05-01,1,NA,NA,888,NA,NA
County Durham,E06000047,Upper tier local authority,2020-05-01,0,NA,NA,1447,NA,NA
Isle of Wight,E06000046,Upper tier local authority,2020-05-01,0,NA,NA,123,NA,NA
Southampton,E06000045,Upper tier local authority,2020-05-01,4,NA,NA,487,NA,NA
Portsmouth,E06000044,Upper tier local authority,2020-05-01,0,NA,NA,286,NA,NA
Brighton and Hove,E06000043,Upper tier local authority,2020-05-01,0,NA,NA,376,NA,NA
Milton Keynes,E06000042,Upper tier local authority,2020-05-01,0,NA,NA,469,NA,NA
Wokingham,E06000041,Upper tier local authority,2020-05-01,1,NA,NA,370,NA,NA
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-05-01,0,NA,NA,253,NA,NA
Slough,E06000039,Upper tier local authority,2020-05-01,0,NA,NA,384,NA,NA
Reading,E06000038,Upper tier local authority,2020-05-01,0,NA,NA,480,NA,NA
West Berkshire,E06000037,Upper tier local authority,2020-05-01,0,NA,NA,319,NA,NA
Bracknell Forest,E06000036,Upper tier local authority,2020-05-01,0,NA,NA,214,NA,NA
Medway,E06000035,Upper tier local authority,2020-05-01,0,NA,NA,630,NA,NA
Thurrock,E06000034,Upper tier local authority,2020-05-01,0,NA,NA,281,NA,NA
Southend-on-Sea,E06000033,Upper tier local authority,2020-05-01,0,NA,NA,298,NA,NA
Luton,E06000032,Upper tier local authority,2020-05-01,0,NA,NA,626,NA,NA
Peterborough,E06000031,Upper tier local authority,2020-05-01,0,NA,NA,251,NA,NA
Swindon,E06000030,Upper tier local authority,2020-05-01,0,NA,NA,369,NA,NA
Torbay,E06000027,Upper tier local authority,2020-05-01,0,NA,NA,203,NA,NA
Plymouth,E06000026,Upper tier local authority,2020-05-01,1,NA,NA,293,NA,NA
South Gloucestershire,E06000025,Upper tier local authority,2020-05-01,0,NA,NA,349,NA,NA
North Somerset,E06000024,Upper tier local authority,2020-05-01,1,NA,NA,246,NA,NA
"Bristol, City of",E06000023,Upper tier local authority,2020-05-01,0,NA,NA,616,NA,NA
Bath and North East Somerset,E06000022,Upper tier local authority,2020-05-01,0,NA,NA,212,NA,NA
Stoke-on-Trent,E06000021,Upper tier local authority,2020-05-01,7,NA,NA,490,NA,NA
Telford and Wrekin,E06000020,Upper tier local authority,2020-05-01,0,NA,NA,267,NA,NA
"Herefordshire, County of",E06000019,Upper tier local authority,2020-05-01,0,NA,NA,303,NA,NA
Nottingham,E06000018,Upper tier local authority,2020-05-01,1,NA,NA,527,NA,NA
Rutland,E06000017,Upper tier local authority,2020-05-01,0,NA,NA,20,NA,NA
Leicester,E06000016,Upper tier local authority,2020-05-01,0,NA,NA,676,NA,NA
Derby,E06000015,Upper tier local authority,2020-05-01,1,NA,NA,496,NA,NA
York,E06000014,Upper tier local authority,2020-05-01,0,NA,NA,300,NA,NA
North Lincolnshire,E06000013,Upper tier local authority,2020-05-01,0,NA,NA,366,NA,NA
North East Lincolnshire,E06000012,Upper tier local authority,2020-05-01,0,NA,NA,135,NA,NA
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-05-01,1,NA,NA,612,NA,NA
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-05-01,0,NA,NA,462,NA,NA
Blackpool,E06000009,Upper tier local authority,2020-05-01,0,NA,NA,452,NA,NA
Blackburn with Darwen,E06000008,Upper tier local authority,2020-05-01,0,NA,NA,321,NA,NA
Warrington,E06000007,Upper tier local authority,2020-05-01,0,NA,NA,626,NA,NA
Halton,E06000006,Upper tier local authority,2020-05-01,0,NA,NA,325,NA,NA
Darlington,E06000005,Upper tier local authority,2020-05-01,0,NA,NA,287,NA,NA
Stockton-on-Tees,E06000004,Upper tier local authority,2020-05-01,0,NA,NA,362,NA,NA
Redcar and Cleveland,E06000003,Upper tier local authority,2020-05-01,0,NA,NA,320,NA,NA
Middlesbrough,E06000002,Upper tier local authority,2020-05-01,0,NA,NA,559,NA,NA
Hartlepool,E06000001,Upper tier local authority,2020-05-01,0,NA,NA,197,NA,NA
England,E92000001,Nation,2020-04-30,707,85,622,122747,120614,2133
South West,E12000009,Region,2020-04-30,46,NA,NA,6400,NA,NA
South East,E12000008,Region,2020-04-30,89,NA,NA,17313,NA,NA
London,E12000007,Region,2020-04-30,60,NA,NA,24697,NA,NA
East of England,E12000006,Region,2020-04-30,63,NA,NA,10778,NA,NA
West Midlands,E12000005,Region,2020-04-30,57,NA,NA,13392,NA,NA
East Midlands,E12000004,Region,2020-04-30,59,NA,NA,6997,NA,NA
Yorkshire and The Humber,E12000003,Region,2020-04-30,104,NA,NA,10553,NA,NA
North West,E12000002,Region,2020-04-30,99,NA,NA,19433,NA,NA
North East,E12000001,Region,2020-04-30,104,NA,NA,7941,NA,NA
Worcestershire,E10000034,Upper tier local authority,2020-04-30,1,NA,NA,1161,NA,NA
West Sussex,E10000032,Upper tier local authority,2020-04-30,2,NA,NA,1154,NA,NA
Warwickshire,E10000031,Upper tier local authority,2020-04-30,1,NA,NA,1186,NA,NA
Suffolk,E10000029,Upper tier local authority,2020-04-30,5,NA,NA,1076,NA,NA
Staffordshire,E10000028,Upper tier local authority,2020-04-30,20,NA,NA,1764,NA,NA
Oxfordshire,E10000025,Upper tier local authority,2020-04-30,2,NA,NA,1561,NA,NA
Nottinghamshire,E10000024,Upper tier local authority,2020-04-30,9,NA,NA,1134,NA,NA
North Yorkshire,E10000023,Upper tier local authority,2020-04-30,8,NA,NA,970,NA,NA
Northamptonshire,E10000021,Upper tier local authority,2020-04-30,2,NA,NA,1047,NA,NA
Norfolk,E10000020,Upper tier local authority,2020-04-30,44,NA,NA,1601,NA,NA
Lincolnshire,E10000019,Upper tier local authority,2020-04-30,6,NA,NA,855,NA,NA
Leicestershire,E10000018,Upper tier local authority,2020-04-30,4,NA,NA,945,NA,NA
Lancashire,E10000017,Upper tier local authority,2020-04-30,9,NA,NA,2824,NA,NA
Kent,E10000016,Upper tier local authority,2020-04-30,10,NA,NA,3379,NA,NA
Hertfordshire,E10000015,Upper tier local authority,2020-04-30,10,NA,NA,2319,NA,NA
Hampshire,E10000014,Upper tier local authority,2020-04-30,36,NA,NA,2822,NA,NA
Gloucestershire,E10000013,Upper tier local authority,2020-04-30,8,NA,NA,1228,NA,NA
Essex,E10000012,Upper tier local authority,2020-04-30,3,NA,NA,2614,NA,NA
East Sussex,E10000011,Upper tier local authority,2020-04-30,8,NA,NA,587,NA,NA
Devon,E10000008,Upper tier local authority,2020-04-30,4,NA,NA,710,NA,NA
Derbyshire,E10000007,Upper tier local authority,2020-04-30,24,NA,NA,1299,NA,NA
Cumbria,E10000006,Upper tier local authority,2020-04-30,17,NA,NA,1914,NA,NA
Cambridgeshire,E10000003,Upper tier local authority,2020-04-30,1,NA,NA,768,NA,NA
Buckinghamshire,E10000002,Upper tier local authority,2020-04-30,1,NA,NA,836,NA,NA
Westminster,E09000033,Upper tier local authority,2020-04-30,1,NA,NA,601,NA,NA
