date,type,number
2020-01-22,total_cases,0
2020-01-23,total_cases,0
2020-01-24,total_cases,0
2020-01-25,total_cases,0
2020-01-26,total_cases,0
2020-01-27,total_cases,0
2020-01-28,total_cases,0
2020-01-29,total_cases,0
2020-01-30,total_cases,0
2020-01-31,total_cases,2
2020-02-01,total_cases,2
2020-02-02,total_cases,2
2020-02-03,total_cases,2
2020-02-04,total_cases,2
2020-02-05,total_cases,2
2020-02-06,total_cases,3
2020-02-07,total_cases,3
2020-02-08,total_cases,3
2020-02-09,total_cases,4
2020-02-10,total_cases,8
2020-02-11,total_cases,8
2020-02-12,total_cases,8
2020-02-13,total_cases,9
2020-02-14,total_cases,9
2020-02-15,total_cases,9
2020-02-16,total_cases,9
2020-02-17,total_cases,9
2020-02-18,total_cases,9
2020-02-19,total_cases,9
2020-02-20,total_cases,9
2020-02-21,total_cases,9
2020-02-22,total_cases,9
2020-02-23,total_cases,9
2020-02-24,total_cases,13
2020-02-25,total_cases,13
2020-02-26,total_cases,13
2020-02-27,total_cases,13
2020-02-28,total_cases,19
2020-02-29,total_cases,23
2020-03-01,total_cases,35
2020-03-02,total_cases,40
2020-03-03,total_cases,51
2020-03-04,total_cases,85
2020-03-05,total_cases,114
2020-03-06,total_cases,160
2020-03-07,total_cases,206
2020-03-08,total_cases,271
2020-03-09,total_cases,321
2020-03-10,total_cases,373
2020-03-11,total_cases,456
2020-03-12,total_cases,590
2020-03-13,total_cases,797
2020-03-14,total_cases,1061
2020-03-15,total_cases,1391
2020-03-16,total_cases,1543
2020-03-17,total_cases,1950
2020-03-18,total_cases,2626
2020-03-19,total_cases,3269
2020-03-20,total_cases,3983
2020-03-21,total_cases,5018
2020-03-22,total_cases,5683
2020-03-23,total_cases,6650
2020-03-24,total_cases,8077
2020-03-25,total_cases,9529
2020-03-26,total_cases,11658
2020-03-27,total_cases,14543
2020-03-28,total_cases,17089
2020-03-29,total_cases,19522
2020-03-30,total_cases,22141
2020-03-31,total_cases,25150
2020-04-01,total_cases,29474
2020-04-02,total_cases,33718
2020-04-03,total_cases,38168
2020-04-04,total_cases,41903
2020-04-05,total_cases,47806
2020-04-06,total_cases,51608
2020-04-07,total_cases,55242
2020-04-08,total_cases,60733
2020-04-09,total_cases,65077
2020-04-10,total_cases,70272
2020-04-11,total_cases,78991
2020-01-22,total_deaths,0
2020-01-23,total_deaths,0
2020-01-24,total_deaths,0
2020-01-25,total_deaths,0
2020-01-26,total_deaths,0
2020-01-27,total_deaths,0
2020-01-28,total_deaths,0
2020-01-29,total_deaths,0
2020-01-30,total_deaths,0
2020-01-31,total_deaths,0
2020-02-01,total_deaths,0
2020-02-02,total_deaths,0
2020-02-03,total_deaths,0
2020-02-04,total_deaths,0
2020-02-05,total_deaths,0
2020-02-06,total_deaths,0
2020-02-07,total_deaths,0
2020-02-08,total_deaths,0
2020-02-09,total_deaths,0
2020-02-10,total_deaths,0
2020-02-11,total_deaths,0
2020-02-12,total_deaths,0
2020-02-13,total_deaths,0
2020-02-14,total_deaths,0
2020-02-15,total_deaths,0
2020-02-16,total_deaths,0
2020-02-17,total_deaths,0
2020-02-18,total_deaths,0
2020-02-19,total_deaths,0
2020-02-20,total_deaths,0
2020-02-21,total_deaths,0
2020-02-22,total_deaths,0
2020-02-23,total_deaths,0
2020-02-24,total_deaths,0
2020-02-25,total_deaths,0
2020-02-26,total_deaths,0
2020-02-27,total_deaths,0
2020-02-28,total_deaths,0
2020-02-29,total_deaths,0
2020-03-01,total_deaths,0
2020-03-02,total_deaths,0
2020-03-03,total_deaths,0
2020-03-04,total_deaths,0
2020-03-05,total_deaths,1
2020-03-06,total_deaths,2
2020-03-07,total_deaths,2
2020-03-08,total_deaths,3
2020-03-09,total_deaths,4
2020-03-10,total_deaths,6
2020-03-11,total_deaths,8
2020-03-12,total_deaths,9
2020-03-13,total_deaths,11
2020-03-14,total_deaths,21
2020-03-15,total_deaths,35
2020-03-16,total_deaths,55
2020-03-17,total_deaths,71
2020-03-18,total_deaths,103
