county_UA,date,type,number
Barking and Dagenham,2020-03-09,total_cases,0
Barking and Dagenham,2020-03-10,total_cases,1
Barking and Dagenham,2020-03-11,total_cases,1
Barking and Dagenham,2020-03-12,total_cases,3
Barking and Dagenham,2020-03-13,total_cases,4
Barking and Dagenham,2020-03-14,total_cases,5
Barking and Dagenham,2020-03-15,total_cases,7
Barking and Dagenham,2020-03-16,total_cases,10
Barking and Dagenham,2020-03-17,total_cases,9
Barking and Dagenham,2020-03-18,total_cases,14
Barking and Dagenham,2020-03-19,total_cases,18
Barking and Dagenham,2020-03-20,total_cases,21
Barking and Dagenham,2020-03-21,total_cases,30
Barking and Dagenham,2020-03-22,total_cases,35
Barking and Dagenham,2020-03-23,total_cases,42
Barking and Dagenham,2020-03-24,total_cases,45
Barking and Dagenham,2020-03-25,total_cases,53
Barking and Dagenham,2020-03-26,total_cases,72
Barking and Dagenham,2020-03-27,total_cases,82
Barking and Dagenham,2020-03-28,total_cases,93
Barking and Dagenham,2020-03-29,total_cases,100
Barking and Dagenham,2020-03-30,total_cases,115
Barking and Dagenham,2020-03-31,total_cases,125
Barking and Dagenham,2020-04-01,total_cases,130
Barking and Dagenham,2020-04-02,total_cases,141
Barking and Dagenham,2020-04-03,total_cases,178
Barking and Dagenham,2020-04-04,total_cases,183
Barking and Dagenham,2020-04-05,total_cases,209
Barking and Dagenham,2020-04-06,total_cases,211
Barking and Dagenham,2020-04-07,total_cases,222
Barking and Dagenham,2020-04-08,total_cases,249
Barnet,2020-03-09,total_cases,5
Barnet,2020-03-10,total_cases,8
Barnet,2020-03-11,total_cases,8
Barnet,2020-03-12,total_cases,9
Barnet,2020-03-13,total_cases,14
Barnet,2020-03-14,total_cases,23
Barnet,2020-03-15,total_cases,25
Barnet,2020-03-16,total_cases,25
Barnet,2020-03-17,total_cases,24
Barnet,2020-03-18,total_cases,27
Barnet,2020-03-19,total_cases,28
Barnet,2020-03-20,total_cases,76
Barnet,2020-03-21,total_cases,81
Barnet,2020-03-22,total_cases,88
Barnet,2020-03-23,total_cases,94
Barnet,2020-03-24,total_cases,99
Barnet,2020-03-25,total_cases,100
Barnet,2020-03-26,total_cases,103
Barnet,2020-03-27,total_cases,115
Barnet,2020-03-28,total_cases,117
Barnet,2020-03-29,total_cases,119
Barnet,2020-03-30,total_cases,124
Barnet,2020-03-31,total_cases,130
Barnet,2020-04-01,total_cases,468
Barnet,2020-04-02,total_cases,510
Barnet,2020-04-03,total_cases,547
Barnet,2020-04-04,total_cases,589
Barnet,2020-04-05,total_cases,645
Barnet,2020-04-06,total_cases,666
Barnet,2020-04-07,total_cases,717
Barnet,2020-04-08,total_cases,752
Barnsley,2020-03-09,total_cases,2
Barnsley,2020-03-10,total_cases,2
Barnsley,2020-03-11,total_cases,2
Barnsley,2020-03-12,total_cases,2
